mz_rt	C1	C2	C3	H1	H2	H3	QC01	QC02	QC03
115.0867_0.64	335691.3893	322074.6561	395512.1556	40065.98021	44564.84956	28377.92815	190025.4759	216788.7341	237521.5321
114.0664_0.65	1241798.106	1302103.865	1026554.818	0	0	0	408099.7705	458708.9139	473551.0442
189.1232_0.66	1378002.383	1402611.252	1473746.144	48485349.59	49694543.47	41116291.33	19554569.23	20370317.79	20393284.72
104.0709_0.69	272075.0044	255892.936	214770.57	22823063.04	20143610.46	18446439.12	9094803.152	9196202.293	8859032.68
235.1187_0.84	1788529.077	1683356.286	1381303.198	0	0	0	610454.395	590497.9761	569020.5232
112.0871_0.52	128295.6869	132887.2198	69417.91758	221.4480745	811.6329698	0	140776.283	125436.0626	117380.1013
427.1512_0.53	672119.3245	702246.1503	684343.2688	0	0	0	386997.8774	426864.1617	437036.3218
317.0223_0.55	197551.5655	194316.7346	132574.2323	5542.883654	2477.890081	0	149060.2039	144157.4912	148698.8815
189.1597_0.55	139797.1955	136369.6994	110886.7848	15882.8137	15604.30291	17076.39625	121828.6279	106912.943	114104.9693
271.0397_0.59	204864.576	185381.1649	215146.9719	0	0	0	139423.5922	154410.5682	158227.1666
175.1188_0.61	51815808.26	52424431.3	50891756.65	5215.20887	5337.582371	1142.791004	39822635.88	42465871.16	43695668.08
118.0864_0.63	16610532.01	17165158.06	15560970.21	132360521.8	134816500.5	122653353.1	77441461	73393669.1	74114383.42
144.1018_0.63	422874.7751	450299.3046	293167.5516	2758821.993	2761599.141	2642192.975	1570975.869	1480313.644	1499809.641
319.1607_0.63	285914.2505	264009.9354	256004.6286	0	0	0	115446.6692	145983.628	157143.9984
195.0876_0.64	1192438.299	1190486.331	1218506.648	42220.93059	78915.64012	54742.26083	592715.0151	738366.6502	775935.6956
130.0863_0.67	791184.5483	744042.7429	639850.6589	548549.5016	552917.087	518373.9034	884252.642	921235.8411	911238.8227
272.1713_0.68	236136.6871	238915.556	250566.9094	0	0	0	106975.6562	126529.6786	128519.7359
230.0955_0.69	36272.64316	32716.21854	18236.49518	320640.3174	311640.5994	255694.0288	101257.4629	108323.0495	87597.87467
331.0636_0.69	0	0	0	483761.2196	493219.137	452503.1414	6975.078125	3980.166056	0
